pid,main_color,style
SHTFACSAS6WTFZ5G,pink,style_0
SHTFZZKCHQKWRPEB,pink,style_0
SHTFA82Z7DYRZVRD,white,style_0
SHTFA82ZK95WV8DK,white,style_0
SHTFACSABCZFFTVE,black,style_0
SHTFP3TTATSD5ZHQ,white,style_0
SHTFACSASKATTSTH,pink,style_0
SHTFP3TT7NKUZ2DH,pink,style_0
SHTFA82Z9JAZRZXU,white,style_0
SHTFACSAUKWYMJYP,gray,style_0
SHTF5RCSSJWXP7TR,black,style_0
SHTFZZKCZWTVNNCY,pink,style_0
SHTFACSAYNHFFRYF,pink,style_0
SHTFACSAFFNPK4R5,pink,style_0
SHTFA82ZRSGX7KR5,white,style_0
SHTF4FDXJCXDYFGH,black,style_0
SHTFACSAZR3TNKKE,pink,style_0
SHTFACSAYCSXZKDA,gray,style_0
SHTFACSASQVFFG3N,pink,style_0
SHTF4EHG2PHCGQ5N,gray,style_0
SHTFZZKCNNZUCTFE,white,style_0
SHTFACSAVUYVYDZX,brown,style_0
SHTFPG2HGJG2JADG,gray,style_0
SHTFACSAQFB6TPYF,gray,style_0
SHTF4EHG2KU74RX5,black,style_0
SHTFACSAHWAJKSF3,gray,style_0
SHTF79GAYSZ8F9S6,white,style_0
SHTFMY2XUV3DSZVW,pink,style_0
SHTFYGBANZEDPSUU,gray,style_0
SHTF4ZCCRZZRUJDF,brown,style_0
SHTF4FDXZP2KDQKA,white,style_0
SHTF5RCSEDKQGGWG,pink,style_0
SHTF4EHGBKTPXYHY,pink,style_0
SHTF4Z74EGXWHB94,black,style_0
SHTF4EHGW2UKUVFB,white,style_0
SHTF4FDX4GHEBWJ6,brown,style_0
SHTF4FDXFWNEVHGC,white,style_0
SHTF4FDXFFUB7XMN,purple,style_0
SHTF4EHGU2ZMCY3J,white,style_0
SHTF4Z74X3YZD2NY,brown,style_0
SHTFMY2XKBNZFZPZ,black,style_0
SHTF4ZCCBTQT4VFA,gray,style_0
SHTF4Z74D66V8AVQ,white,style_0
SHTF4EHGHJCGXDKS,purple,style_0
KTAF4N2FPPTHZNVJ,white,style_0
SHTF4EHGZEZQHFMA,brown,style_0
SHTF4EHGZM3YK4R5,white,style_0
SHTF4EHGPMFQGMTK,gray,style_0
SHTF4NAXYUN8ZT5B,white,style_0
SHTEYFZVZQ9ZC3MQ,gray,style_0
